Country,Sub_Region,Population_0_14,Child Mortality Rate (U5MR),Crowding (% lacking sufficient living area),Exclusive breastfeeding under 6 months (%),Low birth weight (=<2500 g),Malnutrition (wght-for-age z<-2),Urban slum population (% of urban),Use solid fuels (yes),Wasting prevalence among children under 5 years
Afghanistan,SA - High Child Mortality,245383111.74036777,55.5,72.35100971840713,57.5,,4.53,71.58904,5.41,3.5828571428571427
Afghanistan,SA - High Child Mortality,243370742.4949288,55.5,72.35100971840713,57.5,,4.53,71.58904,5.41,3.5828571428571427
Afghanistan,SA - High Child Mortality,261291819.3530973,55.5,72.35100971840713,57.5,,4.53,71.58904,5.41,3.5828571428571427
Afghanistan,SA - High Child Mortality,18290445.49999999,55.5,72.35100971840713,57.5,,4.53,71.58904,5.41,3.5828571428571427
Albania,ECA - High Child Mortality,457162.75697144226,9.4,6.039612714906259,36.54,5.992350456,1.5,2.7,28.45,1.5315789473684212
Algeria,MENA - High Child Mortality,14198313.65164504,22.0,13.919768199868672,28.63,7.197213007,2.7,13.246,0.09,2.679047619047619
Andorra,,9738.559426392094,2.6,,,9.394871191,,0.0,,
Angola,SSA - Medium Child Mortality,16802738.778245173,64.0,31.803753748409488,37.38,15.52779066,19.0,62.7,6.55,4.870526315789474
Antigua and Barbuda,LAC - Low Child Mortality,16691.08899825638,9.3,,,15.35550278,,2.64634,,
Argentina,LAC - Low Child Mortality,9872172.000000004,9.6,5.915863478296629,31.95,7.361601633,2.0,14.5,7.33,1.6793103448275861
Armenia,ECA - High Child Mortality,583556.7442167784,10.0,4.167259899031463,44.49,8.272253773,2.6,8.39472,24.25,4.440425531914894
Aruba,,18129.129870310117,,,,,,0.0,,
Australia,EAP - Low Child Mortality,4853840.739692793,3.7,,,6.553680899,0.5,0.035,6.06,0.19166666666666668
Austria,ECA - Medium Child Mortality,1305914.6467512269,3.1,,,6.305404111,,0.04663,16.2,
Azerbaijan,ECA - High Child Mortality,2225408.3465271783,18.6,22.212485576958635,12.1,11.03530631,3.0,26.92667,0.86,3.400961538461538
Bahamas,LAC,71881.00000000007,12.7,,,15.39718187,,,,
Bahrain,MENA - Medium Child Mortality,297347.63924361893,8.6,,,12.44146062,7.6,0.0,0.03,6.6
Bangladesh,SA - Medium Child Mortality,48578249.50000008,30.6,14.264949737299217,62.6,23.04670249,21.7,51.50833,0.28,10.765263157894738
Barbados,LAC - Low Child Mortality,48700.91379362227,10.0,1.0313271811894225,19.7,,3.5,,,6.8436619718309855
Belarus,ECA - Low Child Mortality,1488541.9739975831,2.4,1.6164613509583736,21.7,5.122986416,1.3,0.004,7.01,1.3
Belgium,ECA - Medium Child Mortality,1899835.031934153,3.6,,,6.756188073,0.3,0.0,22.53,0.7833333333333333
